,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,dra,up,down
0,PVR,EQ,2017-05-15,1526.2,1532.35,1538.15,1515.45,1520.0,1524.95,1526.51,103693,158288331.55,7359,54518,52.58,,,
1,PVR,EQ,2017-05-16,1524.95,1526.7,1545.0,1526.65,1533.25,1539.0,1538.04,86547,133112885.8,6332,39020,45.09,,,
2,PVR,EQ,2017-05-17,1539.0,1539.7,1552.85,1526.05,1527.0,1530.3,1538.01,73902,113662177.5,4665,21303,28.83,,,
3,PVR,EQ,2017-05-18,1530.3,1525.0,1539.35,1502.2,1514.9,1515.05,1519.68,82125,124803466.6,2903,38796,47.24,,,
4,PVR,EQ,2017-05-19,1515.05,1515.0,1534.5,1502.2,1517.65,1513.55,1513.25,114890,173856728.5,9495,54764,47.67,,,
5,PVR,EQ,2017-05-22,1513.55,1498.45,1522.0,1397.05,1492.0,1481.0,1473.33,449726,662596699.1,29357,179657,39.95,,,
6,PVR,EQ,2017-05-23,1481.0,1492.0,1515.0,1445.5,1497.0,1496.45,1476.7,318619,470503326.4,9260,179663,56.39,,,
7,PVR,EQ,2017-05-24,1496.45,1490.0,1530.05,1444.15,1452.0,1450.0,1484.3,107642,159772570.95,5923,33688,31.3,,,
8,PVR,EQ,2017-05-25,1450.0,1450.0,1474.75,1439.05,1474.75,1461.15,1456.94,114328,166568939.3,3930,53461,46.76,,,
9,PVR,EQ,2017-05-26,1461.15,1463.1,1498.0,1451.0,1475.0,1471.5,1473.7,129323,190583763.05,7326,37335,28.87,,,
10,PVR,EQ,2017-05-29,1471.5,1460.05,1485.2,1460.05,1470.15,1472.85,1470.23,82565,121389935.6,2761,37285,45.16,,,
11,PVR,EQ,2017-05-30,1472.85,1470.0,1487.9,1425.05,1447.5,1447.9,1455.43,205277,298765989.55,9267,25865,12.6,,,
12,PVR,EQ,2017-05-31,1447.9,1440.1,1518.0,1440.1,1449.05,1454.95,1477.74,225319,332962606.95,14074,77117,34.23,,,
13,PVR,EQ,2017-06-01,1454.95,1452.0,1469.7,1452.0,1455.0,1455.7,1459.95,59522,86899074.3,3090,23335,39.2,1486.7392857142859,1551.5432407048384,1421.9353307237334
14,PVR,EQ,2017-06-02,1455.7,1457.3,1466.9,1452.35,1460.0,1457.8,1462.45,55880,81721545.75,2865,29238,52.32,1481.9428571428573,1544.4639656662112,1419.4217486195034
15,PVR,EQ,2017-06-05,1457.8,1458.9,1464.65,1440.0,1444.0,1442.25,1452.1,102733,149178094.45,4617,51065,49.71,1475.0321428571428,1531.4789402336628,1418.585345480623
16,PVR,EQ,2017-06-06,1442.25,1445.0,1447.45,1378.85,1390.0,1392.85,1411.78,210916,297766684.65,16465,89785,42.57,1465.2142857142858,1527.7385878027403,1402.6899836258312
17,PVR,EQ,2017-06-07,1392.85,1391.1,1409.0,1387.0,1400.0,1400.7,1400.17,165824,232182354.95,7911,70517,42.53,1457.0464285714286,1521.3765562696562,1392.716300873201
18,PVR,EQ,2017-06-08,1400.7,1400.7,1498.5,1382.3,1461.0,1454.0,1465.71,596919,874912535.05,21846,142853,23.93,1452.7928571428572,1508.2989601634029,1397.2867541223115
19,PVR,EQ,2017-06-09,1454.0,1465.0,1479.85,1443.0,1470.0,1472.25,1471.65,403598,593954013.45,18344,241292,59.79,1452.1678571428572,1506.490208501601,1397.8455057841134
20,PVR,EQ,2017-06-12,1472.25,1477.0,1507.0,1470.0,1495.0,1488.95,1492.22,306349,457140136.25,17326,98821,32.26,1451.632142857143,1504.192680952135,1399.0716047621509
21,PVR,EQ,2017-06-13,1488.95,1490.55,1505.0,1474.0,1500.0,1496.3,1489.41,195198,290729706.2,8620,101610,52.05,1454.939285714286,1512.6332152519283,1397.2453561766436
22,PVR,EQ,2017-06-14,1496.3,1505.5,1550.0,1490.6,1522.0,1522.5,1516.74,221887,336544508.35,10671,76207,34.34,1459.3214285714287,1527.4275642295736,1391.2152929132837
23,PVR,EQ,2017-06-15,1522.5,1525.0,1537.2,1515.0,1522.0,1523.5,1524.31,108982,166122862.9,5764,36017,33.05,1463.0357142857142,1539.1982472567977,1386.8731813146308
24,PVR,EQ,2017-06-16,1523.5,1521.25,1575.0,1521.25,1569.25,1564.15,1554.11,253525,394006172.25,9899,122687,48.39,1469.5571428571432,1563.0117789700132,1376.1025067442731
25,PVR,EQ,2017-06-19,1564.15,1570.0,1589.95,1545.0,1563.1,1569.9,1567.24,192244,301291606.95,11220,63040,32.79,1478.2714285714287,1584.8565531958748,1371.6863039469827
26,PVR,EQ,2017-06-20,1569.9,1574.0,1589.35,1560.6,1576.95,1570.3,1571.39,113049,177643618.9,11747,46220,40.88,1486.5107142857144,1602.7283230307642,1370.2931055406646
27,PVR,EQ,2017-06-21,1570.3,1574.75,1601.0,1571.0,1581.0,1581.4,1587.72,281799,447419037.95,13220,107563,38.17,1495.4892857142859,1620.5397996834652,1370.4387717451066
28,PVR,EQ,2017-06-22,1581.4,1583.0,1593.75,1557.1,1564.9,1563.95,1577.11,84496,133259841.75,6312,33500,39.65,1503.071428571429,1631.1145025395613,1375.0283546032965
29,PVR,EQ,2017-06-23,1563.95,1573.85,1576.85,1500.55,1502.2,1508.0,1536.0,249486,383210185.25,11393,111611,44.74,1507.7678571428573,1630.931410737522,1384.6043035481928
30,PVR,EQ,2017-06-27,1508.0,1509.0,1509.0,1445.0,1459.95,1450.35,1458.02,192943,281315062.4,10464,88049,45.63,1511.8750000000002,1621.636466897015,1402.1135331029855
31,PVR,EQ,2017-06-28,1450.35,1451.35,1458.95,1393.35,1410.85,1405.35,1420.0,238384,338504377.45,13282,116220,48.75,1512.207142857143,1620.538236888662,1403.8760488256241
32,PVR,EQ,2017-06-29,1405.35,1406.1,1449.9,1406.1,1420.0,1417.6,1429.14,200303,286260827.25,9625,61637,30.77,1509.607142857143,1625.4433458943013,1393.7709398199845
33,PVR,EQ,2017-06-30,1417.6,1420.0,1430.0,1383.4,1408.0,1408.55,1401.62,229464,321620535.4,22115,119244,51.97,1505.0571428571427,1631.7132360152132,1378.4010496990722
34,PVR,EQ,2017-07-03,1408.55,1415.0,1444.0,1406.6,1440.0,1440.4,1433.98,197905,283792055.85,18581,72803,36.79,1501.5892857142858,1632.7245428320439,1370.4540285965277
35,PVR,EQ,2017-07-04,1440.4,1442.0,1445.0,1421.55,1421.6,1425.75,1430.29,63910,91409589.1,6096,22712,35.54,1496.55,1633.8386683653766,1359.2613316346233
